feature,importance
neutral_match_flag,0.28076598062223823
elo_diff,0.1643594124818221
win_percentage_diff,0.05478983986365745
goals_conceded_diff,0.049824795470060315
ranking_diff,0.046373317178786455
away_elo,0.033563662811349065
player_strength_diff,0.03335749023133696
goals_scored_diff,0.03327160358999079
home_avg_goals_conceded,0.029340878378025476
home_elo,0.02836211729089516
away_avg_goals_conceded,0.02774982617714687
away_avg_goals_scored,0.026778328672469407
away_win_percentage,0.02396864184636531
home_win_percentage,0.02282075714704242
home_avg_goals_scored,0.02249627115386108
away_player_strength,0.021303258735194563
home_player_strength,0.01941972835003527
away_fifa_rank,0.01796336356158512
home_fifa_rank,0.017712548001088353
form_diff,0.017554530873744954
home_form,0.014193452573935037
away_form,0.014030194989369738
